ticker,local_validation_passed,ledger_row_found,ledger_update_attempted,ledger_update_success,previous_last_success_scan_date,new_last_success_scan_date,previous_last_scan_status,new_last_scan_status,error_message
AMC,False,True,False,False,,,SKIPPED_NO_LOCAL_DATA,SKIPPED_NO_LOCAL_DATA,Local price cache file missing.
APLD,False,True,False,False,,,SKIPPED_NO_LOCAL_DATA,SKIPPED_NO_LOCAL_DATA,Local price cache file missing.
BLSH,False,True,False,False,,,SKIPPED_NO_LOCAL_DATA,SKIPPED_NO_LOCAL_DATA,Local price cache file missing.
BW,False,True,False,False,,,SKIPPED_NO_LOCAL_DATA,SKIPPED_NO_LOCAL_DATA,Local price cache file missing.
BYND,False,True,False,False,,,SKIPPED_NO_LOCAL_DATA,SKIPPED_NO_LOCAL_DATA,Local price cache file missing.
CAI,False,True,False,False,,,SKIPPED_NO_LOCAL_DATA,SKIPPED_NO_LOCAL_DATA,Local price cache file missing.
CDTX,False,True,False,False,,,SKIPPED_NO_LOCAL_DATA,SKIPPED_NO_LOCAL_DATA,Local price cache file missing.
CFLT,False,True,False,False,,,SKIPPED_NO_LOCAL_DATA,SKIPPED_NO_LOCAL_DATA,Local price cache file missing.
CHYM,False,True,False,False,,,SKIPPED_NO_LOCAL_DATA,SKIPPED_NO_LOCAL_DATA,Local price cache file missing.
COG,False,True,False,False,,,SKIPPED_NO_LOCAL_DATA,SKIPPED_NO_LOCAL_DATA,Local price cache file missing.
COGT,False,True,False,False,,,SKIPPED_NO_LOCAL_DATA,SKIPPED_NO_LOCAL_DATA,Local price cache file missing.
CRCL,False,True,False,False,,,SKIPPED_NO_LOCAL_DATA,SKIPPED_NO_LOCAL_DATA,Local price cache file missing.
CVNA,False,True,False,False,,,SKIPPED_NO_LOCAL_DATA,SKIPPED_NO_LOCAL_DATA,Local price cache file missing.
DBVT,False,True,False,False,,,SKIPPED_NO_LOCAL_DATA,SKIPPED_NO_LOCAL_DATA,Local price cache file missing.
FCNCA,False,True,False,False,,,SKIPPED_NO_LOCAL_DATA,SKIPPED_NO_LOCAL_DATA,Local price cache file missing.
FIGR,False,True,False,False,,,SKIPPED_NO_LOCAL_DATA,SKIPPED_NO_LOCAL_DATA,Local price cache file missing.
GEMI,False,True,False,False,,,SKIPPED_NO_LOCAL_DATA,SKIPPED_NO_LOCAL_DATA,Local price cache file missing.
HOOD,False,True,False,False,,,SKIPPED_NO_LOCAL_DATA,SKIPPED_NO_LOCAL_DATA,Local price cache file missing.
HTZ,False,True,False,False,,,SKIPPED_NO_LOCAL_DATA,SKIPPED_NO_LOCAL_DATA,Local price cache file missing.
INSM,False,True,False,False,,,SKIPPED_NO_LOCAL_DATA,SKIPPED_NO_LOCAL_DATA,Local price cache file missing.
JBS,False,True,False,False,,,SKIPPED_NO_LOCAL_DATA,SKIPPED_NO_LOCAL_DATA,Local price cache file missing.
