priority_rank,ticker,priority_bucket,reason,last_success_date,days_since_success,success_today,success_within_lookback,selected_for_next_refresh
1,AMC,01_NEVER_SUCCESS,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA,,,False,False,True
2,APLD,01_NEVER_SUCCESS,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA,,,False,False,True
3,BLSH,01_NEVER_SUCCESS,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA,,,False,False,True
4,BW,01_NEVER_SUCCESS,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA,,,False,False,True
5,BYND,01_NEVER_SUCCESS,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA,,,False,False,True
6,CAI,01_NEVER_SUCCESS,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA,,,False,False,True
7,CDTX,01_NEVER_SUCCESS,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA,,,False,False,True
8,CFLT,01_NEVER_SUCCESS,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA,,,False,False,True
9,CHYM,01_NEVER_SUCCESS,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA,,,False,False,True
10,COG,01_NEVER_SUCCESS,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA,,,False,False,True
11,COGT,01_NEVER_SUCCESS,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA,,,False,False,True
12,CRCL,01_NEVER_SUCCESS,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA,,,False,False,True
13,CVNA,01_NEVER_SUCCESS,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA,,,False,False,True
14,DBVT,01_NEVER_SUCCESS,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA,,,False,False,True
15,FCNCA,01_NEVER_SUCCESS,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA,,,False,False,True
16,FIGR,01_NEVER_SUCCESS,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA,,,False,False,True
17,GEMI,01_NEVER_SUCCESS,NEVER_SUCCESS;OPTIONAL_INPUT_VISIBLE;last_status=SKIPPED_NO_LOCAL_DATA,,,False,False,True
