ticker,local_validation_passed,ledger_row_found,ledger_update_attempted,ledger_update_success,previous_last_success_scan_date,new_last_success_scan_date,previous_last_scan_status,new_last_scan_status,error_message
AMC,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
APLD,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
BW,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
BYND,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
COGT,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
CVNA,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
DBVT,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
FCNCA,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
HOOD,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
HTZ,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
INSM,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
NVAX,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
UPST,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
USFD,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
V,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
VECO,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
VEEV,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
VIAV,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
VIST,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
VMC,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
WAB,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
WDAY,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
WHR,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
WING,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
WLK,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
WULF,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
WVE,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
WWD,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
XENE,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
XLF,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
XLK,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
XPO,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
XYZ,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
YPF,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
Z,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
ZG,True,True,True,True,,2026-05-22,SKIPPED_NO_LOCAL_DATA,SUCCESS_LOCAL_PRICE_FULL_HISTORY,
