ticker,fetch_status,staged_file_exists,staged_row_count,staged_min_date,staged_max_date,latest_date_age_days,has_required_ohlcv_columns,close_non_null_count,volume_non_null_count,duplicate_date_count,missing_date_or_parse_issue_count,non_positive_close_count,suspicious_large_gap_count,suspicious_return_outlier_count,full_history_ready_from_v18_23C,staged_local_price_scan_success_from_v18_23C,insufficient_history_flag_from_v18_23C,official_price_overlap_found,existing_official_latest_date,staged_newer_than_official,recommended_integration_action,integration_block_reason,quality_score,quality_grade,classification
CNM,SUCCESS,TRUE,1213,2021-07-22,2026-05-20,1,TRUE,1213,1213,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
COF,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
CPAY,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
CPNG,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
CRCL,SUCCESS,TRUE,241,2025-06-05,2026-05-20,1,TRUE,241,241,0,0,0,0,0,FALSE,TRUE,TRUE,FALSE,,TRUE,DRY_RUN_MERGE_PRICE_ONLY_PARTIAL_HISTORY,Not full factor-ready.,90,A,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY
CRH,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
CRS,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
CSGP,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
DAKT,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
DAL,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,TRUE,DRY_RUN_MERGE_FULL_HISTORY,,100,A,MERGE_CANDIDATE_FULL_HISTORY
