ticker,dry_run_action,staged_source_path,official_destination_path,backup_required,merge_scope,ledger_update_timing,ranking_factor_technical_unchanged,post_integration_retest_required,explicit_approval_required,notes
CNM,DRY_RUN_MERGE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\CNM.csv,D:\us-tech-quant\state\v18\price_cache\CNM.csv,TRUE,FULL_HISTORY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
COF,DRY_RUN_MERGE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\COF.csv,D:\us-tech-quant\state\v18\price_cache\COF.csv,TRUE,FULL_HISTORY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
CPAY,DRY_RUN_MERGE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\CPAY.csv,D:\us-tech-quant\state\v18\price_cache\CPAY.csv,TRUE,FULL_HISTORY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
CPNG,DRY_RUN_MERGE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\CPNG.csv,D:\us-tech-quant\state\v18\price_cache\CPNG.csv,TRUE,FULL_HISTORY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
CRCL,DRY_RUN_MERGE_PRICE_ONLY_PARTIAL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\CRCL.csv,D:\us-tech-quant\state\v18\price_cache\CRCL.csv,TRUE,PRICE_ONLY_PARTIAL_HISTORY_NOT_FACTOR_READY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
CRH,DRY_RUN_MERGE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\CRH.csv,D:\us-tech-quant\state\v18\price_cache\CRH.csv,TRUE,FULL_HISTORY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
CRS,DRY_RUN_MERGE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\CRS.csv,D:\us-tech-quant\state\v18\price_cache\CRS.csv,TRUE,FULL_HISTORY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
CSGP,DRY_RUN_MERGE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\CSGP.csv,D:\us-tech-quant\state\v18\price_cache\CSGP.csv,TRUE,FULL_HISTORY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
DAKT,DRY_RUN_MERGE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\DAKT.csv,D:\us-tech-quant\state\v18\price_cache\DAKT.csv,TRUE,FULL_HISTORY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
DAL,DRY_RUN_MERGE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\DAL.csv,D:\us-tech-quant\state\v18\price_cache\DAL.csv,TRUE,FULL_HISTORY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
DASH,DRY_RUN_MERGE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\DASH.csv,D:\us-tech-quant\state\v18\price_cache\DASH.csv,TRUE,FULL_HISTORY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
DB,DRY_RUN_MERGE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\DB.csv,D:\us-tech-quant\state\v18\price_cache\DB.csv,TRUE,FULL_HISTORY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
DIS,DRY_RUN_MERGE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\DIS.csv,D:\us-tech-quant\state\v18\price_cache\DIS.csv,TRUE,FULL_HISTORY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
DOCU,DRY_RUN_MERGE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\DOCU.csv,D:\us-tech-quant\state\v18\price_cache\DOCU.csv,TRUE,FULL_HISTORY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
DUOL,DRY_RUN_MERGE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\DUOL.csv,D:\us-tech-quant\state\v18\price_cache\DUOL.csv,TRUE,FULL_HISTORY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
EEM,DRY_RUN_MERGE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\EEM.csv,D:\us-tech-quant\state\v18\price_cache\EEM.csv,TRUE,FULL_HISTORY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
ENPH,DRY_RUN_MERGE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\ENPH.csv,D:\us-tech-quant\state\v18\price_cache\ENPH.csv,TRUE,FULL_HISTORY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
EQIX,DRY_RUN_MERGE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\EQIX.csv,D:\us-tech-quant\state\v18\price_cache\EQIX.csv,TRUE,FULL_HISTORY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
EQT,DRY_RUN_MERGE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\EQT.csv,D:\us-tech-quant\state\v18\price_cache\EQT.csv,TRUE,FULL_HISTORY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
ET,DRY_RUN_MERGE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\ET.csv,D:\us-tech-quant\state\v18\price_cache\ET.csv,TRUE,FULL_HISTORY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
EWY,DRY_RUN_MERGE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\EWY.csv,D:\us-tech-quant\state\v18\price_cache\EWY.csv,TRUE,FULL_HISTORY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
EWZ,DRY_RUN_MERGE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\EWZ.csv,D:\us-tech-quant\state\v18\price_cache\EWZ.csv,TRUE,FULL_HISTORY,AFTER_OFFICIAL_LOCAL_SCAN_SUCCEEDS,TRUE,TRUE,TRUE,Dry run only; no file copied in R1.
