ticker,classification,staged_file,staged_row_count,quality_grade
CNM,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\CNM.csv,1213,A
COF,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\COF.csv,1262,A
CPAY,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\CPAY.csv,1262,A
CPNG,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\CPNG.csv,1262,A
CRH,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\CRH.csv,1262,A
CRS,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\CRS.csv,1262,A
CSGP,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\CSGP.csv,1262,A
DAKT,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\DAKT.csv,1262,A
DAL,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\DAL.csv,1262,A
DASH,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\DASH.csv,1262,A
DB,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\DB.csv,1262,A
DIS,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\DIS.csv,1262,A
DOCU,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\DOCU.csv,1262,A
DUOL,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\DUOL.csv,1209,A
EEM,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\EEM.csv,1262,A
ENPH,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\ENPH.csv,1262,A
EQIX,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\EQIX.csv,1262,A
EQT,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\EQT.csv,1262,A
ET,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\ET.csv,1262,A
EWY,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\EWY.csv,1262,A
EWZ,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\EWZ.csv,1262,A
FLS,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\FLS.csv,1262,A
FLUT,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\FLUT.csv,1262,A
FWONK,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\FWONK.csv,1262,A
GEHC,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\GEHC.csv,859,A
GOOG,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\GOOG.csv,1262,A
GRAB,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\GRAB.csv,1262,A
GS,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\GS.csv,1262,A
GSG,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\GSG.csv,1262,A
GT,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\GT.csv,1262,A
HIVE,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\HIVE.csv,1262,A
HLT,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\HLT.csv,1262,A
HUBS,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\HUBS.csv,1262,A
HUM,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\HUM.csv,1262,A
HUT,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\HUT.csv,1262,A
IBIT,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\IBIT.csv,591,A
INFY,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\INFY.csv,1262,A
ISRG,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\ISRG.csv,1262,A
IWM,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\IWM.csv,1262,A
JCI,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\JCI.csv,1262,A
JD,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\JD.csv,1262,A
JHX,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\JHX.csv,1262,A
KKR,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\KKR.csv,1262,A
KNX,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\KNX.csv,1262,A
KRC,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\KRC.csv,1262,A
KVYO,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\KVYO.csv,669,A
KWEB,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\KWEB.csv,1262,A
LBRT,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\LBRT.csv,1262,A
LCID,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\LCID.csv,1262,A
LHX,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\LHX.csv,1262,A
LIN,MERGE_CANDIDATE_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH1\LIN.csv,1262,A
