ticker,staged_path,official_cache_path,integration_status,before_row_count,staged_row_count,after_row_count,latest_date,duplicate_dates_dropped,failure_reason
AA,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AA.csv,D:\us-tech-quant\state\v18\price_cache\AA.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
AAL,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AAL.csv,D:\us-tech-quant\state\v18\price_cache\AAL.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
ABR,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\ABR.csv,D:\us-tech-quant\state\v18\price_cache\ABR.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
ADBE,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\ADBE.csv,D:\us-tech-quant\state\v18\price_cache\ADBE.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
ADMA,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\ADMA.csv,D:\us-tech-quant\state\v18\price_cache\ADMA.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
ADSK,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\ADSK.csv,D:\us-tech-quant\state\v18\price_cache\ADSK.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
AEIS,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AEIS.csv,D:\us-tech-quant\state\v18\price_cache\AEIS.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
AEVA,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AEVA.csv,D:\us-tech-quant\state\v18\price_cache\AEVA.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
AFRM,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AFRM.csv,D:\us-tech-quant\state\v18\price_cache\AFRM.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
AGX,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AGX.csv,D:\us-tech-quant\state\v18\price_cache\AGX.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
ALM,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\ALM.csv,D:\us-tech-quant\state\v18\price_cache\ALM.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
APG,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\APG.csv,D:\us-tech-quant\state\v18\price_cache\APG.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
APO,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\APO.csv,D:\us-tech-quant\state\v18\price_cache\APO.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
APP,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\APP.csv,D:\us-tech-quant\state\v18\price_cache\APP.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
ARGT,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\ARGT.csv,D:\us-tech-quant\state\v18\price_cache\ARGT.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
AXON,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\AXON.csv,D:\us-tech-quant\state\v18\price_cache\AXON.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
BABA,D:\us-tech-quant\data\v18\staged_backfill\V18_23C_BATCH2\BABA.csv,D:\us-tech-quant\state\v18\price_cache\BABA.csv,SUCCESS,1262,1262,1262,2026-05-20,0,
