priority_rank,ticker,current_output_bucket,trust_level,official_rank_allowed,watch_only,trade_allowed,data_gap_reason,rolling_ledger_status,never_success,stale_or_overdue,official_price_cache_available,factor_present,technical_present,tier_migration_present,held_out_from_previous_batch,previous_hold_reason,batch3_candidate,batch3_priority_rank,selection_reason,exclusion_reason
1,COG,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Empty provider response.,FALSE,1,Manual review: Empty provider response.,HELD_OUT_MANUAL_REVIEW
2,COGT,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Suspicious staged data quality issue.,FALSE,2,Manual review: Suspicious staged data quality issue.,HELD_OUT_MANUAL_REVIEW
3,CRCL,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Not full factor-ready.,FALSE,3,Manual review: Not full factor-ready.,HELD_OUT_MANUAL_REVIEW
4,CVNA,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Suspicious staged data quality issue.,FALSE,4,Manual review: Suspicious staged data quality issue.,HELD_OUT_MANUAL_REVIEW
5,DBVT,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Suspicious staged data quality issue.,FALSE,5,Manual review: Suspicious staged data quality issue.,HELD_OUT_MANUAL_REVIEW
6,FCNCA,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Suspicious staged data quality issue.,FALSE,6,Manual review: Suspicious staged data quality issue.,HELD_OUT_MANUAL_REVIEW
7,FIGR,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Not full factor-ready.,FALSE,7,Manual review: Not full factor-ready.,HELD_OUT_MANUAL_REVIEW
8,GEMI,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Not full factor-ready.,FALSE,8,Manual review: Not full factor-ready.,HELD_OUT_MANUAL_REVIEW
9,HOOD,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Suspicious staged data quality issue.,FALSE,9,Manual review: Suspicious staged data quality issue.,HELD_OUT_MANUAL_REVIEW
10,HTZ,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Suspicious staged data quality issue.,FALSE,10,Manual review: Suspicious staged data quality issue.,HELD_OUT_MANUAL_REVIEW
11,INSM,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Suspicious staged data quality issue.,FALSE,11,Manual review: Suspicious staged data quality issue.,HELD_OUT_MANUAL_REVIEW
12,JBS,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Not full factor-ready.,FALSE,12,Manual review: Not full factor-ready.,HELD_OUT_MANUAL_REVIEW
13,JFROG,DATA_NOT_READY,NONE,FALSE,FALSE,FALSE,OFFICIAL_PRICE_CACHE_MISSING|SCORE_MISSING|TECHNICAL_TIMING_MISSING|ROLLING_LEDGER_FULL_HISTORY_NOT_READY,SKIPPED_NO_LOCAL_DATA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Empty provider response.,FALSE,13,Manual review: Empty provider response.,HELD_OUT_MANUAL_REVIEW
