ticker,fetch_attempted,fetch_success,fetch_empty,fetch_fail,raw_row_count,normalized_row_count,min_date,max_date,latest_date,close_column_available,close_non_null_count,duplicate_date_count_before_cleaning,duplicate_date_count_after_cleaning,negative_or_zero_close_count,suspicious_gap_count,full_history_ready,price_only_partial,quality_status,staged_raw_path,staged_normalized_path,error_message
OKTA,TRUE,TRUE,FALSE,FALSE,2293,2293,2017-04-07,2026-05-21,2026-05-21,TRUE,2293,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\OKTA.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\OKTA.csv,
OLMA,TRUE,TRUE,FALSE,FALSE,1381,1381,2020-11-19,2026-05-21,2026-05-21,TRUE,1381,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\OLMA.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\OLMA.csv,
OLPX,TRUE,TRUE,FALSE,FALSE,1165,1165,2021-09-30,2026-05-21,2026-05-21,TRUE,1165,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\OLPX.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\OLPX.csv,
OPCH,TRUE,TRUE,FALSE,FALSE,7489,7489,1996-08-15,2026-05-21,2026-05-21,TRUE,7489,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\OPCH.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\OPCH.csv,
PATH,TRUE,TRUE,FALSE,FALSE,1278,1278,2021-04-21,2026-05-21,2026-05-21,TRUE,1278,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PATH.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PATH.csv,
PCOR,TRUE,TRUE,FALSE,FALSE,1257,1257,2021-05-20,2026-05-21,2026-05-21,TRUE,1257,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PCOR.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PCOR.csv,
PCT,TRUE,TRUE,FALSE,FALSE,1472,1472,2020-07-14,2026-05-21,2026-05-21,TRUE,1472,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PCT.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PCT.csv,
PDD,TRUE,TRUE,FALSE,FALSE,1966,1966,2018-07-26,2026-05-21,2026-05-21,TRUE,1966,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PDD.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PDD.csv,
PFGC,TRUE,TRUE,FALSE,FALSE,2676,2676,2015-09-30,2026-05-21,2026-05-21,TRUE,2676,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PFGC.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PFGC.csv,
PGNY,TRUE,TRUE,FALSE,FALSE,1651,1651,2019-10-25,2026-05-21,2026-05-21,TRUE,1651,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\PGNY.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\PGNY.csv,
