ticker,r16_candidate,r17_fetch_attempted,fetch_success,fetch_empty,fetch_fail,raw_file_exists,normalized_file_exists,normalized_row_count,min_date,max_date,latest_date,close_column_available,close_non_null_count,duplicate_date_count,negative_or_zero_close_count,suspicious_gap_count,full_history_ready,partial_history,invalid_artifact,artifact_reason,quality_status,integration_gate_decision,hold_reason,recommended_next_action
OKTA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2293,2017-04-07,2026-05-21,2026-05-21,TRUE,2293,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
OLMA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1381,2020-11-19,2026-05-21,2026-05-21,TRUE,1381,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
OLPX,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1165,2021-09-30,2026-05-21,2026-05-21,TRUE,1165,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
OPCH,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,7489,1996-08-15,2026-05-21,2026-05-21,TRUE,7489,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
PATH,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1278,2021-04-21,2026-05-21,2026-05-21,TRUE,1278,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
PCOR,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1257,2021-05-20,2026-05-21,2026-05-21,TRUE,1257,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
PCT,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1472,2020-07-14,2026-05-21,2026-05-21,TRUE,1472,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
PDD,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1966,2018-07-26,2026-05-21,2026-05-21,TRUE,1966,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
PFGC,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2676,2015-09-30,2026-05-21,2026-05-21,TRUE,2676,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
PGNY,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1651,2019-10-25,2026-05-21,2026-05-21,TRUE,1651,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
PI,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2473,2016-07-21,2026-05-21,2026-05-21,TRUE,2473,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
PINS,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1783,2019-04-18,2026-05-21,2026-05-21,TRUE,1783,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
PLUG,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,6680,1999-10-29,2026-05-21,2026-05-21,TRUE,6680,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
PM,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4575,2008-03-17,2026-05-21,2026-05-21,TRUE,4575,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
PONY,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,370,2024-11-27,2026-05-21,2026-05-21,TRUE,370,0,0,0,FALSE,TRUE,FALSE,,FETCH_SUCCESS_PARTIAL_HISTORY,PRICE_ONLY_PARTIAL_HOLD,Price-only partial history.,Hold out of official integration until full-history coverage is available.
PSIX,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,3545,2012-04-17,2026-05-21,2026-05-21,TRUE,3545,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
PTGX,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2458,2016-08-11,2026-05-21,2026-05-21,TRUE,2458,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
PTON,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1672,2019-09-26,2026-05-21,2026-05-21,TRUE,1672,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
PUMP,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2308,2017-03-17,2026-05-21,2026-05-21,TRUE,2308,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
PYPL,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2737,2015-07-06,2026-05-21,2026-05-21,TRUE,2737,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
QS,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1448,2020-08-17,2026-05-21,2026-05-21,TRUE,1448,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
QSR,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2877,2014-12-11,2026-05-21,2026-05-21,TRUE,2877,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
RBLX,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1307,2021-03-10,2026-05-21,2026-05-21,TRUE,1307,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
RDDT,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,544,2024-03-21,2026-05-21,2026-05-21,TRUE,544,0,0,0,FALSE,TRUE,FALSE,,FETCH_SUCCESS_PARTIAL_HISTORY,PRICE_ONLY_PARTIAL_HOLD,Price-only partial history.,Hold out of official integration until full-history coverage is available.
RERE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1237,2021-06-18,2026-05-21,2026-05-21,TRUE,1237,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
RH,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,3407,2012-11-02,2026-05-21,2026-05-21,TRUE,3407,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
RIOT,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2551,2016-03-31,2026-05-21,2026-05-21,TRUE,2551,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
RKT,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,1455,2020-08-06,2026-05-21,2026-05-21,TRUE,1455,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
RNG,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,3181,2013-09-27,2026-05-21,2026-05-21,TRUE,3181,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
ROKU,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,2173,2017-09-28,2026-05-21,2026-05-21,TRUE,2173,0,0,0,TRUE,FALSE,FALSE,,FETCH_SUCCESS_FULL_HISTORY,FULL_HISTORY_INTEGRATION_CANDIDATE,,Eligible for future official price cache integration.
