ticker,priority_rank,classification,reason,provider,error_message
AMC,1,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
APLD,2,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
BW,4,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
BYND,5,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
COGT,11,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
CVNA,13,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
DBVT,14,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
FCNCA,15,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
HOOD,18,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
HTZ,19,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
INSM,20,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
NVAX,27,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
UPST,33,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
USFD,34,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
V,35,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
VECO,36,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
VEEV,37,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
VIAV,38,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
VIST,39,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
VMC,40,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
WAB,41,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
WDAY,42,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
WHR,43,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
WING,44,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
WLK,45,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
WULF,47,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
WVE,48,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
WWD,49,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
XENE,51,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
XLF,52,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
XLK,53,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
XPO,54,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
XYZ,55,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
YPF,56,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
Z,57,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
ZG,58,ALREADY_HAS_LOCAL_CACHE_NOW,Local price cache exists now; fetch skipped.,yfinance,
BLSH,3,PARTIAL_HISTORY_HOLD,Quality precheck did not classify as full-history ready.,yfinance,
CAI,6,PARTIAL_HISTORY_HOLD,Quality precheck did not classify as full-history ready.,yfinance,
CDTX,7,EMPTY_FETCH,Provider returned empty history.,yfinance,
CFLT,8,EMPTY_FETCH,Provider returned empty history.,yfinance,
CHYM,9,PARTIAL_HISTORY_HOLD,Quality precheck did not classify as full-history ready.,yfinance,
COG,10,EMPTY_FETCH,Provider returned empty history.,yfinance,
CRCL,12,PARTIAL_HISTORY_HOLD,Quality precheck did not classify as full-history ready.,yfinance,
FIGR,16,PARTIAL_HISTORY_HOLD,Quality precheck did not classify as full-history ready.,yfinance,
GEMI,17,PARTIAL_HISTORY_HOLD,Quality precheck did not classify as full-history ready.,yfinance,
JBS,21,PARTIAL_HISTORY_HOLD,Quality precheck did not classify as full-history ready.,yfinance,
JFROG,22,EMPTY_FETCH,Provider returned empty history.,yfinance,
KLAR,23,PARTIAL_HISTORY_HOLD,Quality precheck did not classify as full-history ready.,yfinance,
LINE,24,PARTIAL_HISTORY_HOLD,Quality precheck did not classify as full-history ready.,yfinance,
MNTN,25,PARTIAL_HISTORY_HOLD,Quality precheck did not classify as full-history ready.,yfinance,
MPW,26,EMPTY_FETCH,Provider returned empty history.,yfinance,
PONY,28,PARTIAL_HISTORY_HOLD,Quality precheck did not classify as full-history ready.,yfinance,
RDDT,29,PARTIAL_HISTORY_HOLD,Quality precheck did not classify as full-history ready.,yfinance,
SOLS,30,PARTIAL_HISTORY_HOLD,Quality precheck did not classify as full-history ready.,yfinance,
STUB,31,PARTIAL_HISTORY_HOLD,Quality precheck did not classify as full-history ready.,yfinance,
TLN,32,PARTIAL_HISTORY_HOLD,Quality precheck did not classify as full-history ready.,yfinance,
