ticker,normalization_attempted,normalization_success,normalization_failed,normalized_row_count,normalized_path,duplicate_date_count_before_cleaning,duplicate_date_count_after_cleaning,error_message
BLSH,TRUE,TRUE,FALSE,196,D:/us-tech-quant/data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/BLSH.csv,0,0,
CAI,TRUE,TRUE,FALSE,234,D:/us-tech-quant/data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/CAI.csv,0,0,
CHYM,TRUE,TRUE,FALSE,238,D:/us-tech-quant/data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/CHYM.csv,0,0,
CRCL,TRUE,TRUE,FALSE,243,D:/us-tech-quant/data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/CRCL.csv,0,0,
FIGR,TRUE,TRUE,FALSE,176,D:/us-tech-quant/data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/FIGR.csv,0,0,
GEMI,TRUE,TRUE,FALSE,175,D:/us-tech-quant/data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/GEMI.csv,0,0,
JBS,TRUE,TRUE,FALSE,237,D:/us-tech-quant/data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/JBS.csv,0,0,
KLAR,TRUE,TRUE,FALSE,176,D:/us-tech-quant/data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/KLAR.csv,0,0,
LINE,TRUE,TRUE,FALSE,459,D:/us-tech-quant/data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/LINE.csv,0,0,
MNTN,TRUE,TRUE,FALSE,252,D:/us-tech-quant/data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/MNTN.csv,0,0,
PONY,TRUE,TRUE,FALSE,371,D:/us-tech-quant/data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/PONY.csv,0,0,
RDDT,TRUE,TRUE,FALSE,545,D:/us-tech-quant/data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/RDDT.csv,0,0,
SOLS,TRUE,TRUE,FALSE,149,D:/us-tech-quant/data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/SOLS.csv,0,0,
STUB,TRUE,TRUE,FALSE,172,D:/us-tech-quant/data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/STUB.csv,0,0,
TLN,TRUE,TRUE,FALSE,746,D:/us-tech-quant/data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/TLN.csv,0,0,
WOLF,TRUE,TRUE,FALSE,164,D:/us-tech-quant/data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/WOLF.csv,0,0,
WYFI,TRUE,TRUE,FALSE,200,D:/us-tech-quant/data/v18/staged_backfill/V18_25A_R23B_MISSING_CACHE/normalized/WYFI.csv,0,0,
