priority_rank,ticker,source_batch,target_status,price_cache_file,price_row_count,reason
1,AMC,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/AMC.csv,3124,
2,APLD,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/APLD.csv,1030,
3,BW,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/BW.csv,2750,
4,BYND,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/BYND.csv,1774,
5,COGT,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/COGT.csv,2048,
6,CVNA,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/CVNA.csv,2279,
7,DBVT,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/DBVT.csv,2912,
8,FCNCA,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/FCNCA.csv,9971,
9,HOOD,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/HOOD.csv,1209,
10,HTZ,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/HTZ.csv,1228,
11,INSM,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/INSM.csv,6532,
12,NVAX,R23D_R23E,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/NVAX.csv,7665,
13,OKTA,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/OKTA.csv,2293,
14,OLMA,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/OLMA.csv,1381,
15,OLPX,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/OLPX.csv,1165,
16,OPCH,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/OPCH.csv,7489,
17,PATH,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/PATH.csv,1278,
18,PCOR,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/PCOR.csv,1257,
19,PCT,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/PCT.csv,1472,
20,PDD,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/PDD.csv,1966,
21,PFGC,R19_R20,PRICE_CACHE_VALIDATED,D:/us-tech-quant/state/v18/price_cache/PFGC.csv,2676,
