metric,value,expected,status,notes
R27E_STATUS,OK_V18_25A_R27E_POST_INTEGRATION_DOWNSTREAM_READINESS_READY,OK_V18_25A_R27E_POST_INTEGRATION_DOWNSTREAM_READINESS_READY,OK,
TARGET_TICKER_COUNT,2,2,OK,
PRICE_CACHE_PRESENT_COUNT,2,2,OK,
ROLLING_LEDGER_SUCCESS_COUNT,2,2,OK,
OFFICIAL_FACTOR_PRESENT_COUNT,0,0,OK,
OFFICIAL_TECHNICAL_PRESENT_COUNT,0,0,OK,
RANKED_CANDIDATE_PRESENT_COUNT,0,0,OK,
STAGED_FACTOR_ROW_COUNT,2,2,OK,
STAGED_TECHNICAL_ROW_COUNT,2,2,OK,
FACTOR_BUILD_SUCCESS_COUNT,2,2,OK,
FACTOR_BUILD_FAIL_COUNT,0,0,OK,
TECHNICAL_BUILD_SUCCESS_COUNT,2,2,OK,
TECHNICAL_BUILD_FAIL_COUNT,0,0,OK,
FACTOR_SCHEMA_COMPATIBLE,TRUE,TRUE,OK,
TECHNICAL_SCHEMA_COMPATIBLE,TRUE,TRUE,OK,
DUPLICATE_FACTOR_TICKER_COUNT,0,0,OK,
DUPLICATE_TECHNICAL_TICKER_COUNT,0,0,OK,
FACTOR_SCORE_MISSING_COUNT,0,0,OK,
TECHNICAL_SCORE_MISSING_COUNT,0,0,OK,
TOTAL_LEDGER_ROWS,323,323,OK,
COVERED_WITHIN_5D,303,303,OK,
NEVER_SUCCESS_COUNT,20,20,OK,
STALE_COUNT,0,0,OK,
REMAINING_COUNT,20,20,OK,
