ticker,yf_ticker,price_date,close,bb_mid_20,bb_upper_20_2,bb_lower_20_2,bb_percent_b,bb_bandwidth,bb_squeeze_flag,bb_status,rsi_14,rsi_status,kdj_k,kdj_d,kdj_j,kdj_status,volume_ratio_5_20,overheat_penalty,pullback_timing_bonus,breakout_confirmation_bonus,technical_timing_score,technical_signal,technical_warning_label,option_data_status,put_call_ratio,iv_rank_proxy,gamma_squeeze_status,gamma_squeeze_risk_label,official_decision_impact,vix_date,vix_close,vix_regime
AA,AA,2026-05-20,64.13999938964844,64.3,68.030428,60.569572,0.478555,0.116032,False,BB_MID,51.088980,RSI_NEUTRAL,36.621295,36.621295,36.621295,KDJ_NEUTRAL,1.024831,0,0,0,50.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
AAL,AAL,2026-05-20,12.949999809265137,12.314,13.445537,11.182463,0.781034,0.183781,False,BB_UPPER_HALF,65.422888,RSI_NEUTRAL,75.862061,75.862061,75.862061,KDJ_NEUTRAL,1.168028,0,0,0,50.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
AAPL,AAPL,2026-05-26,308.33,291.382,316.0529,266.7111,0.8435,0.1693,False,BB_UPPER_HALF,77.373,RSI_EXTREME_OVERHEAT,85.8368,86.8575,83.7953,KDJ_HIGH_DEAD_CROSS,0.8828,25,0,0,25.0,TECH_TIMING_OVERHEAT_AVOID_CHASE,RSI_EXTREME_OVERHEAT;KDJ_HIGH_DEAD_CROSS,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-27,16.86,VIX_NORMAL
ABR,ABR,2026-05-20,5.78000020980835,7.1345,9.13018,5.13882,0.160642,0.559445,False,BB_LOWER_HALF,20.224716,RSI_OVERSOLD,3.832757,3.832757,3.832757,KDJ_NEUTRAL,1.003088,0,10,0,70.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
ACLS,ACLS,2026-05-26,164.27,151.9715,174.9777,128.9653,0.7673,0.3028,False,BB_UPPER_HALF,65.232,RSI_STRONG,62.176,52.286,81.956,KDJ_NEUTRAL,0.6645,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-27,16.86,VIX_NORMAL
ACM,ACM,2026-05-26,72.47,76.8465,88.8288,64.8642,0.3174,0.3119,False,BB_LOWER_HALF,34.7782,RSI_WEAK,43.9356,29.8642,72.0784,KDJ_NEUTRAL,1.3273,0,14,4,68.0,TECH_TIMING_WATCH_POSITIVE,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-27,16.86,VIX_NORMAL
ACMR,ACMR,2026-05-26,86.46,61.6225,80.7816,42.4634,1.1482,0.6218,False,BB_ABOVE_UPPER,84.7681,RSI_EXTREME_OVERHEAT,90.5412,85.7334,100.1569,KDJ_EXTREME_OVERHEAT,1.1252,40,0,0,10.0,TECH_TIMING_OVERHEAT_AVOID_CHASE,BB_UPPER_CHASE_RISK;RSI_EXTREME_OVERHEAT;KDJ_EXTREME_OVERHEAT,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-27,16.86,VIX_NORMAL
ADBE,ADBE,2026-05-20,253.3699951171875,247.413501,260.531803,234.295199,0.72703,0.106044,False,BB_UPPER_HALF,55.716299,RSI_NEUTRAL,64.857558,64.857558,64.857558,KDJ_NEUTRAL,1.11981,0,0,0,50.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
ADMA,ADMA,2026-05-20,8.5600004196167,9.4975,11.822012,7.172988,0.298345,0.4895,False,BB_LOWER_HALF,29.832939,RSI_OVERSOLD,33.59748,33.59748,33.59748,KDJ_NEUTRAL,0.507878,0,10,0,70.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
ADSK,ADSK,2026-05-20,243.6300048828125,239.792,251.433436,228.150564,0.664842,0.097096,False,BB_UPPER_HALF,55.487509,RSI_NEUTRAL,61.453469,61.453469,61.453469,KDJ_NEUTRAL,0.97039,0,0,0,50.0,TECH_TIMING_V18_35D_RECOMPUTE,V18_35D_NOT_MERGED,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,
