run_id,asof_date,ticker,company_name_or_chinese_name_if_available,candidate_rank,composite_candidate_score,factor_pack_score,technical_timing_score,kdj_k,kdj_d,kdj_j,kdj_signal,kdj_risk_label,macd_dif,macd_dea,macd_histogram,macd_signal,macd_momentum_label,combined_oscillator_label,shadow_confirmation_score,shadow_risk_score,official_decision_impact
V18_40A_20260527_131532,2026-05-27,FORM,,1,59.2,,64.0,15.2101,31.9855,-18.3406,KDJ_NEUTRAL,KDJ_OVERSOLD;KDJ_J_EXTREME_LOW,3.1890,6.6205,-3.4315,MACD_ABOVE_ZERO,MACD_HIST_CONTRACTING;MACD_MOMENTUM_WEAKENING,OSCILLATOR_MIXED,1,1,NONE
V18_40A_20260527_131532,2026-05-27,AEIS,,2,58.86,,68.0,19.5958,20.1475,18.4922,KDJ_NEUTRAL,KDJ_OVERSOLD,-11.5844,-4.0297,-7.5547,MACD_BELOW_ZERO,MACD_HIST_EXPANDING;MACD_MOMENTUM_IMPROVING,OSCILLATOR_MILD_CONFIRMATION,1,0,NONE
V18_40A_20260527_131532,2026-05-27,AGX,,3,57.4,,58.0,32.0243,48.5551,-1.0374,KDJ_NEUTRAL,KDJ_J_EXTREME_LOW,20.4618,33.1313,-12.6696,MACD_ABOVE_ZERO,MACD_HIST_CONTRACTING;MACD_MOMENTUM_WEAKENING,OSCILLATOR_MILD_RISK,0,1,NONE
V18_40A_20260527_131532,2026-05-27,BLTE,,4,57.324,,68.0,22.7040,24.4313,19.2495,KDJ_NEUTRAL,KDJ_NEUTRAL,-5.4770,-4.2197,-1.2573,MACD_BELOW_ZERO,MACD_HIST_EXPANDING;MACD_MOMENTUM_IMPROVING,OSCILLATOR_NEUTRAL,0,0,NONE
V18_40A_20260527_131532,2026-05-27,LITE,,5,57.02,,58.0,67.0894,72.3562,56.5558,KDJ_NEUTRAL,KDJ_NEUTRAL,51.8509,49.9569,1.8939,MACD_ABOVE_ZERO,MACD_HIST_CONTRACTING;MACD_MOMENTUM_WEAKENING,OSCILLATOR_NEUTRAL,0,0,NONE
V18_40A_20260527_131532,2026-05-27,ALM,,6,56.892,,64.0,19.6542,24.0999,10.7630,KDJ_NEUTRAL,KDJ_OVERSOLD,-0.4919,0.0235,-0.5154,MACD_NEUTRAL,MACD_HIST_EXPANDING;MACD_MOMENTUM_IMPROVING,OSCILLATOR_MILD_CONFIRMATION,1,0,NONE
V18_40A_20260527_131532,2026-05-27,POWL,,7,56.64,,58.0,45.6021,68.0016,0.8031,KDJ_NEUTRAL,KDJ_NEUTRAL,22.6387,24.3756,-1.7369,MACD_ABOVE_ZERO,MACD_HIST_CONTRACTING;MACD_MOMENTUM_WEAKENING,OSCILLATOR_MILD_RISK,-1,1,NONE
V18_40A_20260527_131532,2026-05-27,MTZ,,8,56.632,,58.0,30.8045,43.9754,4.4627,KDJ_NEUTRAL,KDJ_NEUTRAL,10.6193,17.5927,-6.9734,MACD_ABOVE_ZERO,MACD_HIST_CONTRACTING;MACD_MOMENTUM_WEAKENING,OSCILLATOR_MILD_RISK,-1,1,NONE
V18_40A_20260527_131532,2026-05-27,MOD,,9,54.352,,58.0,68.5110,80.8364,43.8601,KDJ_DEAD_CROSS,KDJ_OVERBOUGHT,13.3450,12.4278,0.9172,MACD_ABOVE_ZERO,MACD_HIST_CONTRACTING;MACD_MOMENTUM_WEAKENING,OSCILLATOR_RISK_WARNING,-1,2,NONE
V18_40A_20260527_131532,2026-05-27,OC,,10,53.908,,72.0,20.4164,19.0466,23.1560,KDJ_GOLDEN_CROSS,KDJ_OVERSOLD,-1.1839,0.3837,-1.5676,MACD_NEUTRAL,MACD_HIST_EXPANDING;MACD_MOMENTUM_IMPROVING,OSCILLATOR_POSITIVE_CONFIRMATION,2,0,NONE
V18_40A_20260527_131532,2026-05-27,MU,,11,53.856,,50.0,81.9490,90.8019,64.2434,KDJ_NEUTRAL,KDJ_OVERBOUGHT,89.3090,73.9425,15.3665,MACD_ABOVE_ZERO,MACD_HIST_CONTRACTING;MACD_MOMENTUM_WEAKENING,OSCILLATOR_MILD_RISK,0,1,NONE
V18_40A_20260527_131532,2026-05-27,CAMT,,12,53.544,,68.0,19.1863,36.7225,-15.8861,KDJ_NEUTRAL,KDJ_OVERSOLD;KDJ_J_EXTREME_LOW,0.8298,4.6593,-3.8295,MACD_ABOVE_ZERO,MACD_HIST_CONTRACTING;MACD_MOMENTUM_WEAKENING,OSCILLATOR_MIXED,1,1,NONE
V18_40A_20260527_131532,2026-05-27,SOXL,,13,53.476,,50.0,77.8309,85.8370,61.8187,KDJ_DEAD_CROSS,KDJ_OVERBOUGHT,26.3655,24.1698,2.1958,MACD_ABOVE_ZERO,MACD_HIST_CONTRACTING;MACD_MOMENTUM_WEAKENING,OSCILLATOR_RISK_WARNING,-1,2,NONE
V18_40A_20260527_131532,2026-05-27,CLH,,14,53.048,,64.0,48.8987,54.5260,37.6443,KDJ_NEUTRAL,KDJ_NEUTRAL,-0.5685,0.7207,-1.2892,MACD_NEUTRAL,MACD_HIST_CONTRACTING;MACD_MOMENTUM_WEAKENING,OSCILLATOR_MILD_RISK,-1,1,NONE
V18_40A_20260527_131532,2026-05-27,AMKR,,15,52.828,,58.0,32.2376,49.7530,-2.7932,KDJ_NEUTRAL,KDJ_J_EXTREME_LOW,3.8900,5.0003,-1.1103,MACD_ABOVE_ZERO,MACD_HIST_CONTRACTING;MACD_MOMENTUM_WEAKENING,OSCILLATOR_MILD_RISK,0,1,NONE
V18_40A_20260527_131532,2026-05-27,KEYS,,16,52.504,,62.0,48.6611,68.7309,8.5216,KDJ_NEUTRAL,KDJ_NEUTRAL,12.2279,13.9178,-1.6898,MACD_ABOVE_ZERO,MACD_HIST_CONTRACTING;MACD_MOMENTUM_WEAKENING,OSCILLATOR_MILD_RISK,-1,1,NONE
V18_40A_20260527_131532,2026-05-27,AEHR,,17,52.116,,48.0,80.5938,80.4002,80.9810,KDJ_NEUTRAL,KDJ_OVERBOUGHT,9.8229,10.2659,-0.4430,MACD_ABOVE_ZERO,MACD_HIST_CONTRACTING;MACD_MOMENTUM_WEAKENING,OSCILLATOR_RISK_WARNING,-1,2,NONE
V18_40A_20260527_131532,2026-05-27,VIAV,,18,51.800559,,60.0,31.1992,34.3670,24.8636,KDJ_NEUTRAL,KDJ_NEUTRAL,2.0152,3.0543,-1.0392,MACD_ABOVE_ZERO,MACD_HIST_CONTRACTING;MACD_MOMENTUM_WEAKENING,OSCILLATOR_MILD_RISK,-1,1,NONE
V18_40A_20260527_131532,2026-05-27,ICHR,,19,51.732,,48.0,70.8598,76.2874,60.0045,KDJ_NEUTRAL,KDJ_NEUTRAL,4.6346,4.8629,-0.2284,MACD_ABOVE_ZERO,MACD_HIST_CONTRACTING;MACD_MOMENTUM_WEAKENING,OSCILLATOR_MILD_RISK,-1,1,NONE
V18_40A_20260527_131532,2026-05-27,COHU,,20,51.684,,58.0,44.6322,65.9972,1.9022,KDJ_NEUTRAL,KDJ_NEUTRAL,3.0347,3.4888,-0.4541,MACD_ABOVE_ZERO,MACD_HIST_CONTRACTING;MACD_MOMENTUM_WEAKENING,OSCILLATOR_MILD_RISK,-1,1,NONE
V18_40A_20260527_131532,2026-05-27,APG,,21,51.6,,72.0,15.9922,15.1624,17.6518,KDJ_GOLDEN_CROSS,KDJ_OVERSOLD,-0.7849,-0.2352,-0.5497,MACD_BELOW_ZERO,MACD_HIST_EXPANDING;MACD_MOMENTUM_IMPROVING,OSCILLATOR_POSITIVE_CONFIRMATION,2,0,NONE
V18_40A_20260527_131532,2026-05-27,SNDK,,22,51.572,,50.0,56.7471,74.0099,22.2214,KDJ_NEUTRAL,KDJ_NEUTRAL,164.6531,160.1062,4.5469,MACD_ABOVE_ZERO,MACD_HIST_CONTRACTING;MACD_MOMENTUM_WEAKENING,OSCILLATOR_NEUTRAL,0,0,NONE
V18_40A_20260527_131532,2026-05-27,SITM,,23,51.403528,,50.0,31.3734,48.7915,-3.4628,KDJ_NEUTRAL,KDJ_J_EXTREME_LOW,67.5879,82.3927,-14.8048,MACD_ABOVE_ZERO,MACD_HIST_CONTRACTING;MACD_MOMENTUM_WEAKENING,OSCILLATOR_MILD_RISK,0,1,NONE
V18_40A_20260527_131532,2026-05-27,CRDO,,24,51.2,,64.0,30.7541,51.9154,-11.5684,KDJ_NEUTRAL,KDJ_J_EXTREME_LOW,12.5707,15.7525,-3.1818,MACD_ABOVE_ZERO,MACD_HIST_CONTRACTING;MACD_MOMENTUM_WEAKENING,OSCILLATOR_MILD_RISK,0,1,NONE
V18_40A_20260527_131532,2026-05-27,INTC,,25,51.192,,50.0,51.4600,74.3723,5.6352,KDJ_NEUTRAL,KDJ_NEUTRAL,14.9837,14.8852,0.0985,MACD_ABOVE_ZERO,MACD_HIST_CONTRACTING;MACD_MOMENTUM_WEAKENING,OSCILLATOR_NEUTRAL,0,0,NONE
