ticker,yf_ticker,price_date,close,bb_mid_20,bb_upper_20_2,bb_lower_20_2,bb_percent_b,bb_bandwidth,bb_squeeze_flag,bb_status,rsi_14,rsi_status,kdj_k,kdj_d,kdj_j,kdj_status,volume_ratio_5_20,overheat_penalty,pullback_timing_bonus,breakout_confirmation_bonus,technical_timing_score,technical_signal,technical_warning_label,option_data_status,put_call_ratio,iv_rank_proxy,gamma_squeeze_status,gamma_squeeze_risk_label,official_decision_impact,vix_date,vix_close,vix_regime
ACM,ACM,2026-05-29,69.37,75.0855,86.7109,63.4601,0.2542,0.3097,False,BB_LOWER_HALF,28.6557,RSI_OVERSOLD,38.5866,40.057,35.6459,KDJ_DEAD_CROSS,1.8152,0,14,4,68.0,TECH_TIMING_WATCH_POSITIVE,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
ZS,ZS,2026-05-29,139.73,154.3945,189.1555,119.6335,0.2891,0.4503,False,BB_LOWER_HALF,44.4511,RSI_WEAK,36.4717,54.9769,-0.5386,KDJ_NEUTRAL,2.3871,0,14,4,68.0,TECH_TIMING_WATCH_POSITIVE,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
ETR,ETR,2026-05-29,109.05,112.291,116.913,107.669,0.1494,0.0823,False,BB_LOWER_HALF,39.89,RSI_WEAK,41.0101,51.7457,19.5388,KDJ_NEUTRAL,0.801,0,14,0,64.0,TECH_TIMING_PULLBACK_WATCH,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
GEV,GEV,2026-05-29,968.32,1049.1025,1120.9077,977.2973,-0.0625,0.1369,False,BB_BELOW_LOWER,40.3063,RSI_WEAK,30.1757,39.7806,10.9661,KDJ_NEUTRAL,1.1985,0,14,0,64.0,TECH_TIMING_PULLBACK_WATCH,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
HUBB,HUBB,2026-05-29,473.61,484.1825,515.6473,452.7177,0.332,0.13,False,BB_LOWER_HALF,39.6743,RSI_WEAK,57.1901,47.2457,77.0788,KDJ_NEUTRAL,1.0716,0,14,0,64.0,TECH_TIMING_PULLBACK_WATCH,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
CARR,CARR,2026-05-29,63.87,64.9995,68.5176,61.4814,0.3395,0.1082,False,BB_LOWER_HALF,50.5858,RSI_NEUTRAL,50.0951,43.5375,63.2103,KDJ_NEUTRAL,1.2215,0,8,4,62.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
AMKR,AMKR,2026-05-29,69.56,71.478,79.1123,63.8437,0.3744,0.2136,True,BB_LOWER_HALF,51.3066,RSI_NEUTRAL,53.2259,47.801,64.0758,KDJ_NEUTRAL,1.1392,0,8,0,58.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
FIX,FIX,2026-05-29,1828.21,1918.207,2079.6615,1756.7525,0.2213,0.1683,False,BB_LOWER_HALF,49.4007,RSI_NEUTRAL,34.5694,36.1017,31.5048,KDJ_NEUTRAL,1.037,0,8,0,58.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
FN,FN,2026-05-29,654.16,679.843,746.3652,613.3209,0.307,0.1957,False,BB_LOWER_HALF,47.2628,RSI_NEUTRAL,37.6215,46.2054,20.4539,KDJ_NEUTRAL,1.1482,0,8,0,58.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
FORM,FORM,2026-05-29,124.59,133.332,153.2627,113.4013,0.2807,0.299,False,BB_LOWER_HALF,45.4469,RSI_NEUTRAL,55.6308,51.5727,63.7469,KDJ_NEUTRAL,0.7474,0,8,0,58.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
