strategy,obs,avg_net_ret_per_trade,median_net_ret_per_trade,win_rate,ret_std,sharpe_like
TECH_SCORE_TOP10_H20,1400,0.035136,0.027003,0.604286,0.102224,0.343717
TECH_SCORE_TOP5_H20,1400,0.035011,0.021557,0.584286,0.118089,0.296483
TECH_SCORE_TOP15_H20,1400,0.033553,0.026356,0.627857,0.096699,0.346986
TECH_SCORE_TOP5_H10,1410,0.016541,0.009562,0.575177,0.080402,0.20573
TECH_SCORE_TOP10_H10,1410,0.016215,0.014949,0.596454,0.07087,0.228798
TECH_SCORE_TOP15_H10,1410,0.015744,0.014231,0.599291,0.067601,0.232894
TECH_SCORE_TOP5_H5,1415,0.007729,0.006329,0.559717,0.055861,0.138363
TECH_SCORE_TOP10_H5,1415,0.007105,0.007941,0.570318,0.049906,0.142366
TECH_SCORE_TOP15_H5,1415,0.007034,0.007577,0.574558,0.04776,0.147279
TECH_SCORE_TOP5_H3,1417,0.004366,0.004005,0.53705,0.043134,0.101225
TECH_SCORE_TOP10_H3,1417,0.003834,0.003834,0.538462,0.03896,0.098404
TECH_SCORE_TOP15_H3,1417,0.003667,0.004451,0.546224,0.037579,0.09759
