strategy,obs,avg_net_ret,median_net_ret,win_rate,ret_std,avg_excess_vs_QQQ,excess_win_rate_vs_QQQ,avg_excess_vs_SPY,excess_win_rate_vs_SPY,avg_excess_vs_SMH,excess_win_rate_vs_SMH
TECH_SCORE_TOP5_H3,1417,0.004366,0.004005,0.53705,0.043134,0.002002,0.491179,0.00246,0.503881,-0.000361,0.47283
TECH_SCORE_TOP5_H5,1415,0.007729,0.006329,0.559717,0.055861,0.003825,0.504594,0.004571,0.527208,-0.000101,0.483392
TECH_SCORE_TOP5_H10,1410,0.016541,0.009562,0.575177,0.080402,0.008976,0.516312,0.010381,0.531915,0.001186,0.477305
TECH_SCORE_TOP5_H20,1400,0.035011,0.021557,0.584286,0.118089,0.020587,0.537857,0.023188,0.546429,0.005474,0.490714
TECH_SCORE_TOP10_H3,1417,0.003834,0.003834,0.538462,0.03896,0.001469,0.494001,0.001927,0.508821,-0.000893,0.48765
TECH_SCORE_TOP10_H5,1415,0.007105,0.007941,0.570318,0.049906,0.003201,0.515194,0.003947,0.544876,-0.000725,0.485512
TECH_SCORE_TOP10_H10,1410,0.016215,0.014949,0.596454,0.07087,0.00865,0.541135,0.010055,0.563121,0.00086,0.492199
TECH_SCORE_TOP10_H20,1400,0.035136,0.027003,0.604286,0.102224,0.020712,0.572857,0.023313,0.595714,0.005599,0.509286
TECH_SCORE_TOP15_H3,1417,0.003667,0.004451,0.546224,0.037579,0.001303,0.501059,0.001761,0.51729,-0.00106,0.49259
TECH_SCORE_TOP15_H5,1415,0.007034,0.007577,0.574558,0.04776,0.00313,0.522261,0.003876,0.54417,-0.000796,0.485512
TECH_SCORE_TOP15_H10,1410,0.015744,0.014231,0.599291,0.067601,0.008179,0.563121,0.009584,0.587943,0.000389,0.498582
TECH_SCORE_TOP15_H20,1400,0.033553,0.026356,0.627857,0.096699,0.019129,0.583571,0.02173,0.598571,0.004015,0.515
