signal,horizon_days,completed_obs,avg_ret,median_ret,win_rate,avg_win,avg_loss
WATCH_POSITIVE,1,0,,,,,
WATCH_POSITIVE,3,0,,,,,
WATCH_POSITIVE,5,0,,,,,
WATCH_POSITIVE,10,0,,,,,
WATCH_POSITIVE,20,0,,,,,
PULLBACK_WATCH,1,0,,,,,
PULLBACK_WATCH,3,0,,,,,
PULLBACK_WATCH,5,0,,,,,
PULLBACK_WATCH,10,0,,,,,
PULLBACK_WATCH,20,0,,,,,
BB_SQUEEZE,1,0,,,,,
BB_SQUEEZE,3,0,,,,,
BB_SQUEEZE,5,0,,,,,
BB_SQUEEZE,10,0,,,,,
BB_SQUEEZE,20,0,,,,,
BREAKOUT_CONTINUATION,1,0,,,,,
BREAKOUT_CONTINUATION,3,0,,,,,
BREAKOUT_CONTINUATION,5,0,,,,,
BREAKOUT_CONTINUATION,10,0,,,,,
BREAKOUT_CONTINUATION,20,0,,,,,
EXHAUSTION_RISK,1,0,,,,,
EXHAUSTION_RISK,3,0,,,,,
EXHAUSTION_RISK,5,0,,,,,
EXHAUSTION_RISK,10,0,,,,,
EXHAUSTION_RISK,20,0,,,,,
OVERHEAT_UNCLASSIFIED,1,0,,,,,
OVERHEAT_UNCLASSIFIED,3,0,,,,,
OVERHEAT_UNCLASSIFIED,5,0,,,,,
OVERHEAT_UNCLASSIFIED,10,0,,,,,
OVERHEAT_UNCLASSIFIED,20,0,,,,,
OLD_OVERHEAT,1,0,,,,,
OLD_OVERHEAT,3,0,,,,,
OLD_OVERHEAT,5,0,,,,,
OLD_OVERHEAT,10,0,,,,,
OLD_OVERHEAT,20,0,,,,,
