ticker,yf_ticker,price_date,close,bb_mid_20,bb_upper_20_2,bb_lower_20_2,bb_percent_b,bb_bandwidth,bb_squeeze_flag,bb_status,rsi_14,rsi_status,kdj_k,kdj_d,kdj_j,kdj_status,volume_ratio_5_20,overheat_penalty,pullback_timing_bonus,breakout_confirmation_bonus,technical_timing_score,technical_signal,technical_warning_label,option_data_status,put_call_ratio,iv_rank_proxy,gamma_squeeze_status,gamma_squeeze_risk_label,official_decision_impact,vix_date,vix_close,vix_regime,signal_bb_squeeze,signal_watch_positive,signal_pullback_watch,signal_old_overheat,signal_breakout_continuation,signal_exhaustion_risk,signal_overheat_unclassified,technical_read_center_label
APH,APH,2026-05-15,125.0,139.654,160.1026,119.2054,0.1417,0.2928,False,BB_LOWER_HALF,38.093,RSI_WEAK,18.1842,15.9723,22.608,KDJ_OVERSOLD,1.3967,0,22,4,76.0,TECH_TIMING_WATCH_POSITIVE,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,18.59,VIX_CAUTION,False,True,False,False,False,False,False,WATCH_POSITIVE
ECL,ECL,2026-05-15,247.62,260.215,277.3873,243.0427,0.1333,0.132,False,BB_LOWER_HALF,32.9346,RSI_WEAK,9.8739,12.8274,3.9669,KDJ_OVERSOLD,1.1476,0,22,0,72.0,TECH_TIMING_WATCH_POSITIVE,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,18.59,VIX_CAUTION,False,True,False,False,False,False,False,WATCH_POSITIVE
HUBB,HUBB,2026-05-15,479.97,517.6145,575.6468,459.5822,0.1757,0.2242,False,BB_LOWER_HALF,33.2167,RSI_WEAK,12.7758,13.9463,10.4347,KDJ_OVERSOLD,1.0764,0,22,0,72.0,TECH_TIMING_WATCH_POSITIVE,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,18.59,VIX_CAUTION,False,True,False,False,False,False,False,WATCH_POSITIVE
PLTR,PLTR,2026-05-15,133.99,139.7905,150.8265,128.7545,0.2372,0.1579,False,BB_LOWER_HALF,43.4837,RSI_WEAK,27.2366,26.5623,28.5851,KDJ_LOW_GOLDEN_CROSS,0.9235,0,22,0,72.0,TECH_TIMING_WATCH_POSITIVE,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,18.59,VIX_CAUTION,False,True,False,False,False,False,False,WATCH_POSITIVE
VST,VST,2026-05-15,139.68,154.5205,169.4019,139.6391,0.0014,0.1926,False,BB_NEAR_LOWER,35.1024,RSI_WEAK,10.2548,15.2054,0.3537,KDJ_OVERSOLD,1.171,0,22,0,72.0,TECH_TIMING_WATCH_POSITIVE,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,18.59,VIX_CAUTION,False,True,False,False,False,False,False,WATCH_POSITIVE
ACM,ACM,2026-05-15,71.31,80.2355,90.6621,69.8089,0.072,0.2599,False,BB_NEAR_LOWER,25.9517,RSI_OVERSOLD,19.3015,23.9306,10.0434,KDJ_NEUTRAL,1.5726,0,14,4,68.0,TECH_TIMING_WATCH_POSITIVE,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,18.59,VIX_CAUTION,False,True,False,False,False,False,False,WATCH_POSITIVE
CAMT,CAMT,2026-05-15,168.35,188.3335,211.8473,164.8197,0.0751,0.2497,False,BB_NEAR_LOWER,42.8285,RSI_WEAK,23.3892,36.988,-3.8084,KDJ_NEUTRAL,1.7452,0,14,4,68.0,TECH_TIMING_WATCH_POSITIVE,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,18.59,VIX_CAUTION,False,True,False,False,False,False,False,WATCH_POSITIVE
CEG,CEG,2026-05-15,267.2,299.3605,333.1546,265.5664,0.0242,0.2258,False,BB_NEAR_LOWER,35.1831,RSI_WEAK,14.979,29.9663,-14.9955,KDJ_NEUTRAL,1.4848,0,14,4,68.0,TECH_TIMING_WATCH_POSITIVE,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,18.59,VIX_CAUTION,False,True,False,False,False,False,False,WATCH_POSITIVE
ANET,ANET,2026-05-15,141.97,160.0805,190.3604,129.8006,0.2009,0.3783,False,BB_LOWER_HALF,42.3196,RSI_WEAK,18.535,20.5791,14.447,KDJ_NEUTRAL,1.1902,0,14,0,64.0,TECH_TIMING_PULLBACK_WATCH,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,18.59,VIX_CAUTION,False,False,True,False,False,False,False,PULLBACK_WATCH
CRM,CRM,2026-05-15,173.51,179.763,193.2613,166.2647,0.2684,0.1502,False,BB_LOWER_HALF,44.7173,RSI_WEAK,26.0208,31.0136,16.0353,KDJ_NEUTRAL,0.931,0,14,0,64.0,TECH_TIMING_PULLBACK_WATCH,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-18,18.59,VIX_CAUTION,False,False,True,False,False,False,False,PULLBACK_WATCH
