input_order,raw_ticker,ticker,source_tag,initial_tier,is_blank_or_invalid,is_duplicate_in_manual_file,existed_before,final_present,final_tier,source_tag_added,validation_status,note
1,AA,AA,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
2,AAL,AAL,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
3,AAPL,AAPL,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CORE_DAILY,TRUE,PASS,user_manual_large_universe_addition
4,ABR,ABR,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
5,ADBE,ADBE,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
6,ADMA,ADMA,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
7,ADSK,ADSK,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
8,AEHR,AEHR,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CORE_DAILY,TRUE,PASS,user_manual_large_universe_addition
9,AEIS,AEIS,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CORE_DAILY,TRUE,PASS,user_manual_large_universe_addition
10,AEVA,AEVA,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
11,AFRM,AFRM,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
12,AGX,AGX,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CORE_DAILY,TRUE,PASS,user_manual_large_universe_addition
13,ALM,ALM,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
14,AMC,AMC,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
15,AMAT,AMAT,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CORE_DAILY,TRUE,PASS,user_manual_large_universe_addition
16,AMD,AMD,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CORE_DAILY,TRUE,PASS,user_manual_large_universe_addition
