ticker,universe_tier,scan_reason,scan_priority,data_depth,last_scan_date,next_due_scan_date,days_since_last_scan,is_position,is_core_daily,is_candidate,is_watchlist,is_overdue,selected_this_run,deferred_reason,estimated_scan_cost,estimated_data_update_cost,estimated_total_cost,source_count,price_cache_status,event_cache_status
AEHR,CORE_DAILY,MUST_SELECT_CORE_DAILY,1650,FULL_FACTOR_DATA,2026-05-25,2026-05-26,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,4,4,8,35,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A
AAPL,CORE_DAILY,MUST_SELECT_CORE_DAILY,1630,FULL_FACTOR_DATA,2026-05-25,2026-05-26,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,4,4,8,34,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A
APH,CORE_DAILY,MUST_SELECT_CORE_DAILY,1630,FULL_FACTOR_DATA,2026-05-25,2026-05-26,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,4,4,8,34,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A
AVGO,CORE_DAILY,MUST_SELECT_CORE_DAILY,1630,FULL_FACTOR_DATA,2026-05-25,2026-05-26,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,4,4,8,34,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A
CAMT,CORE_DAILY,MUST_SELECT_CORE_DAILY,1630,FULL_FACTOR_DATA,2026-05-25,2026-05-26,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,4,4,8,34,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A
CEG,CORE_DAILY,MUST_SELECT_CORE_DAILY,1630,FULL_FACTOR_DATA,2026-05-25,2026-05-26,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,4,4,8,34,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A
BE,CORE_DAILY,MUST_SELECT_CORE_DAILY,1610,FULL_FACTOR_DATA,2026-05-25,2026-05-26,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,4,4,8,33,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A
SITM,CORE_DAILY,MUST_SELECT_CORE_DAILY,1610,FULL_FACTOR_DATA,2026-05-25,2026-05-26,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,4,4,8,33,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A
TSEM,CORE_DAILY,MUST_SELECT_CORE_DAILY,1610,FULL_FACTOR_DATA,2026-05-25,2026-05-26,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,4,4,8,33,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A
ACM,CORE_DAILY,MUST_SELECT_CORE_DAILY,1590,FULL_FACTOR_DATA,2026-05-25,2026-05-26,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,,4,4,8,32,FULL_HISTORY_AVAILABLE,NOT_UPDATED_BY_V18_16A
