recommended_order,ticker,recommendation_reason,universe_tier,last_scan_date,days_since_last_scan,scan_count_in_window,scan_priority,advisory_only
1,CAI,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
2,CART,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
3,CDNS,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
4,CDTX,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
5,CFLT,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
6,CHPT,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
7,CHRW,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
8,CHYM,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
9,CLF,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
10,CLH,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
11,CLSK,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
12,CMG,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
13,CNM,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
14,COF,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
15,COG,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
16,COGT,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
17,CPAY,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
18,CPNG,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
19,CRCL,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
20,CRH,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
21,CRS,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
22,CSGP,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
23,CVNA,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
24,DAKT,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
25,DAL,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
26,DASH,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
27,DB,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
28,DBVT,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
29,DIS,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
30,DOCU,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
31,DUOL,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
32,EEM,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
33,ENPH,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
34,EQIX,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
35,EQT,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
36,ET,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
37,EWY,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
38,EWZ,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
39,FCNCA,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
40,FIGR,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
41,FLS,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
42,FLUT,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
43,FWONK,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
44,GEHC,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
45,GEMI,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
46,GOOG,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
47,GRAB,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
48,GS,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
49,GSG,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
50,GT,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
51,HIVE,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
52,HLT,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
53,HOOD,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
54,HTZ,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
55,HUBS,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
56,HUM,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
57,HUT,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
58,IBIT,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
59,INFY,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
60,INSM,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
61,ISRG,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
62,IWM,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
63,JBS,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
64,JCI,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
65,JD,UNCOVERED_IN_TRUE_5DAY_WINDOW,RESEARCH,,,0,100,TRUE
