planned_day_index,planned_scan_date_label,ticker,priority_reason,coverage_status_before_plan,expected_coverage_status_after_plan
1,NEXT_DAY_1,CAI,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,CART,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,CDNS,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,CDTX,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,CFLT,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,CHPT,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,CHRW,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,CHYM,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,CLF,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,CLH,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,CLSK,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,CMG,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,CNM,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,COF,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,COG,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,COGT,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,CPAY,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,CPNG,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,CRCL,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,CRH,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,CRS,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,CSGP,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,CVNA,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,DAKT,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,DAL,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,DASH,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,DB,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,DBVT,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,DIS,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,DOCU,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,DUOL,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,EEM,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,ENPH,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,EQIX,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,EQT,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,ET,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,EWY,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,EWZ,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,FCNCA,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,FIGR,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,FLS,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,FLUT,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,FWONK,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,GEHC,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,GEMI,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,GOOG,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,GRAB,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,GS,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,GSG,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,GT,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,HIVE,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,HLT,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,HOOD,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,HTZ,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,HUBS,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,HUM,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,HUT,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,IBIT,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,INFY,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
1,NEXT_DAY_1,INSM,UNCOVERED_TICKER_RECOVERY,UNCOVERED,COVERED
