source_path,source_exists,modified_time,parsed_universe_count,parsed_required_daily_count,parsed_current_daily_count,source_type,source_freshness_status,source_selected_for_total_universe_count,notes
D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_UNIVERSE_ROLLING_STATE.csv,TRUE,2026-05-20T15:13:40,324,,,UNIVERSE_ROLLING_STATE,CURRENT_WITH_SELECTED_SOURCE,TRUE,CSV_TICKER_OR_FIELDS
D:\us-tech-quant\outputs\v18\universe\V18_16A_CURRENT_UNIVERSE_ROLLING_STATE_AUDIT.csv,TRUE,2026-05-20T15:13:36,,,,UNIVERSE_ROLLING_STATE,CURRENT_WITH_SELECTED_SOURCE,FALSE,CSV_TICKER_OR_FIELDS
D:\us-tech-quant\state\v18\universe\V18_UNIVERSE_ROLLING_STATE.csv,TRUE,2026-05-20T15:13:40,324,,,UNIVERSE_ROLLING_STATE,CURRENT_WITH_SELECTED_SOURCE,FALSE,CSV_TICKER_OR_FIELDS
D:\us-tech-quant\outputs\v18\universe\V18_CURRENT_ROLLING_SCAN_PLAN.csv,TRUE,2026-05-20T15:13:37,,,65,ROLLING_SCAN_PLAN,CURRENT_WITH_SELECTED_SOURCE,FALSE,SCAN_PLAN_DAILY_SCOPE_NOT_TOTAL_UNIVERSE
D:\us-tech-quant\outputs\v18\universe\V18_16B_CURRENT_ROLLING_SCAN_PLAN.csv,TRUE,2026-05-20T15:13:37,,,65,ROLLING_SCAN_PLAN,CURRENT_WITH_SELECTED_SOURCE,FALSE,SCAN_PLAN_DAILY_SCOPE_NOT_TOTAL_UNIVERSE
D:\us-tech-quant\outputs\v18\universe\V18_16J_CURRENT_DAILY_THRESHOLD_POLICY.csv,TRUE,2026-05-20T01:49:11,325,65,,DAILY_THRESHOLD_POLICY,OLDER_THAN_SELECTED_SOURCE,FALSE,POLICY_DERIVED_TOTAL_FROM_DAILY_MIN_X_5
D:\us-tech-quant\outputs\v18\ops\V18_16F_READ_FIRST.txt,TRUE,2026-05-20T15:13:50,325,65,65,READ_FIRST,CURRENT_WITH_SELECTED_SOURCE,FALSE,READ_FIRST_FIELDS
D:\us-tech-quant\outputs\v18\ops\V18_CURRENT_ROLLING_UNIVERSE_SCAN_READ_FIRST.txt,TRUE,2026-05-20T15:13:50,325,65,65,READ_FIRST,CURRENT_WITH_SELECTED_SOURCE,FALSE,READ_FIRST_FIELDS
D:\us-tech-quant\outputs\v18\ops\V18_16J_READ_FIRST.txt,TRUE,2026-05-20T01:49:12,325,65,,READ_FIRST,OLDER_THAN_SELECTED_SOURCE,FALSE,READ_FIRST_FIELDS
D:\us-tech-quant\outputs\v18\ops\V18_16K_READ_FIRST.txt,TRUE,2026-05-20T15:37:07,324,65,65,READ_FIRST,NEWER_THAN_SELECTED_SOURCE,FALSE,READ_FIRST_FIELDS
