ticker,universe_tier,data_depth,scan_priority,scan_importance,selected_this_run,cache_file,cache_exists,data_sufficiency_status,benchmark_data_status,latest_price_date,last_close,earliest_price_date,available_price_row_count,available_unique_date_count,ret_5d,ret_20d,ret_60d,ret_120d,ma20,ma60,ma120,above_ma20,above_ma60,above_ma120,distance_from_52w_high,distance_from_52w_low,simple_volatility_20d,relative_strength_vs_qqq,relative_strength_vs_smh,relative_strength_vs_xlk,volume_surge_score,volatility_status,overheat_status,light_trend_status,trend_improvement_flag,data_sufficient_for_scan,scan_quality_status,scan_status,scan_fail_reason,promotion_candidate_flag,demotion_candidate_flag,promotion_score_prelim,demotion_score_prelim,updated_at
AEHR,CORE_DAILY,FULL_FACTOR_DATA,1670,HIGH,TRUE,state/v18/price_cache/AEHR.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-15,101.184998,2020-09-21,1420,1420,0.040677,0.206594,2.342748,4.215722,94.153751,61.959084,43.500792,TRUE,TRUE,TRUE,-0.048477,10.946280,0.059357,0.111734,-0.000899,0.060547,,HIGH_VOLATILITY,NORMAL,STRONG_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,6,0,2026-05-27T22:47:12
CAMT,CORE_DAILY,FULL_FACTOR_DATA,1650,HIGH,TRUE,state/v18/price_cache/CAMT.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-15,170.535004,2020-09-21,1420,1420,-0.170307,-0.051424,0.113225,0.803458,188.442751,172.176917,150.172875,FALSE,FALSE,TRUE,-0.177986,1.635373,0.052409,-0.146284,-0.258917,-0.197471,,HIGH_VOLATILITY,NORMAL,WEAK_DOWNTREND,FALSE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,FALSE,TRUE,2,4,2026-05-27T22:47:12
SITM,CORE_DAILY,FULL_FACTOR_DATA,1650,HIGH,TRUE,state/v18/price_cache/SITM.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-21,702.885010,2019-11-20,1633,1633,-0.143043,0.263886,0.680859,1.429690,684.715753,488.582751,428.773125,TRUE,TRUE,TRUE,-0.220299,2.696282,0.074746,0.169026,0.056393,0.117839,,HIGH_VOLATILITY,NORMAL,STRONG_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,6,0,2026-05-27T22:47:12
TSEM,CORE_DAILY,FULL_FACTOR_DATA,1650,HIGH,TRUE,state/v18/price_cache/TSEM.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-21,272.674988,1994-10-26,7945,7945,-0.028555,0.354772,1.164603,1.635560,231.289750,189.410584,157.129959,TRUE,TRUE,TRUE,-0.028555,6.158703,0.066677,0.259912,0.147279,0.208725,,HIGH_VOLATILITY,OVERHEATED,STRONG_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,5,0,2026-05-27T22:47:12
AAPL,CORE_DAILY,FULL_FACTOR_DATA,1630,HIGH,TRUE,state/v18/price_cache/AAPL.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-15,301.395111,2020-09-21,1420,1420,0.027530,0.115328,0.156632,0.132000,281.604755,266.269418,267.406708,TRUE,TRUE,TRUE,0.000000,0.543479,0.014188,0.020468,-0.092165,-0.030719,,NORMAL,OVERHEATED,STRONG_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,5,0,2026-05-27T22:47:12
APH,CORE_DAILY,FULL_FACTOR_DATA,1630,HIGH,TRUE,state/v18/price_cache/APH.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-15,125.550003,2020-09-21,1420,1420,-0.019370,-0.168873,-0.169643,-0.036898,139.681501,137.192167,139.352833,FALSE,FALSE,FALSE,-0.244812,0.472555,0.027156,-0.263733,-0.376366,-0.314920,,NORMAL,NORMAL,WEAK_DOWNTREND,FALSE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,FALSE,TRUE,1,4,2026-05-27T22:47:12
AVGO,CORE_DAILY,FULL_FACTOR_DATA,1630,HIGH,TRUE,state/v18/price_cache/AVGO.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-15,426.204987,2020-09-21,1420,1420,-0.008826,0.048372,0.276101,0.228894,418.585750,361.935917,355.711541,TRUE,TRUE,TRUE,-0.030890,0.864332,0.026550,-0.046488,-0.159121,-0.097675,,NORMAL,NORMAL,STRONG_UPTREND,TRUE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,5,1,2026-05-27T22:47:12
CEG,CORE_DAILY,FULL_FACTOR_DATA,1630,HIGH,TRUE,state/v18/price_cache/CEG.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-15,268.739990,2022-01-19,1085,1085,-0.114910,-0.092738,-0.078585,-0.222801,299.437502,301.004666,313.649958,FALSE,FALSE,FALSE,-0.334720,0.087752,0.033265,-0.187598,-0.300231,-0.238785,,NORMAL,NORMAL,WEAK_DOWNTREND,FALSE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,FALSE,TRUE,1,4,2026-05-27T22:47:12
VIAV,CORE_DAILY,FULL_FACTOR_DATA,1630,HIGH,TRUE,state/v18/price_cache/VIAV.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-21,48.980000,1993-11-17,8182,8182,-0.077763,0.061322,0.587682,1.727172,50.671500,40.699000,30.833417,FALSE,TRUE,TRUE,-0.114766,4.388339,0.049556,-0.033538,-0.146171,-0.084725,,HIGH_VOLATILITY,NORMAL,SIDEWAYS_OR_MIXED,FALSE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,TRUE,FALSE,4,2,2026-05-27T22:47:12
AEIS,CORE_DAILY,FULL_FACTOR_DATA,1610,HIGH,TRUE,state/v18/price_cache/AEIS.csv,TRUE,FULL_HISTORY_AVAILABLE,QQQ_OK;SMH_OK;XLK_OK,2026-05-20,313.049988,2021-05-12,1262,1262,-0.077066,-0.170047,-0.067582,0.520251,354.402998,343.068668,295.143001,FALSE,FALSE,TRUE,-0.195348,1.749187,0.038073,-0.264907,-0.377540,-0.316094,,NORMAL,NORMAL,WEAK_DOWNTREND,FALSE,TRUE,FULL_HISTORY_AVAILABLE,SCANNED_FULL_LIGHT_METRICS,,FALSE,TRUE,1,4,2026-05-27T22:47:13
