"snapshot_date","source_factor_file","ticker","F006_value","F007_value","F008_value","F009_value","F010_value","F011_value"
"2026-05-16","D:\us-tech-quant\outputs\v18\factor_pack\V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv","FORM","99.047619","100.0","92.380952","1.904762","100.0","78.095238"
"2026-05-16","D:\us-tech-quant\outputs\v18\factor_pack\V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv","TER","82.857143","93.975904","48.571429","17.142857","99.047619","67.619048"
"2026-05-16","D:\us-tech-quant\outputs\v18\factor_pack\V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv","SNDK","93.333333","90.361446","49.52381","6.666667","98.095238","100.0"
"2026-05-16","D:\us-tech-quant\outputs\v18\factor_pack\V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv","POWL","90.47619","89.156627","34.285714","12.380952","97.142857","86.666667"
"2026-05-16","D:\us-tech-quant\outputs\v18\factor_pack\V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv","INTC","98.095238","98.795181","42.857143","5.714286","96.190476","95.238095"
"2026-05-16","D:\us-tech-quant\outputs\v18\factor_pack\V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv","ENTG","92.380952","95.180723","29.52381","8.571429","95.238095","49.52381"
"2026-05-16","D:\us-tech-quant\outputs\v18\factor_pack\V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv","DELL","88.571429","79.518072","79.047619","9.52381","94.285714","81.904762"
"2026-05-16","D:\us-tech-quant\outputs\v18\factor_pack\V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv","KEYS","70.47619","56.626506","82.857143","23.809524","93.333333","73.333333"
"2026-05-16","D:\us-tech-quant\outputs\v18\factor_pack\V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv","SOXL","79.047619","84.337349","53.333333","18.095238","92.380952","98.095238"
"2026-05-16","D:\us-tech-quant\outputs\v18\factor_pack\V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv","IREN","97.142857","96.385542","91.428571","3.809524","91.428571","29.52381"
"2026-05-16","D:\us-tech-quant\outputs\v18\factor_pack\V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv","MKSI","76.190476","69.879518","24.761905","25.714286","90.47619","70.47619"
"2026-05-16","D:\us-tech-quant\outputs\v18\factor_pack\V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv","AMKR","91.428571","85.542169","3.809524","15.238095","89.52381","76.190476"
"2026-05-16","D:\us-tech-quant\outputs\v18\factor_pack\V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv","MU","55.238095","68.674699","85.714286","41.904762","88.571429","94.285714"
"2026-05-16","D:\us-tech-quant\outputs\v18\factor_pack\V18_3D_R2_CURRENT_RAW105_FACTOR_PACK_RANKING.csv","MCHP","78.095238","78.313253","58.095238","19.047619","87.619048","60.952381"
