shadow_date,ticker,shadow_rank,shadow_score,shadow_factor_ids,compare_bucket,official_status_bucket,horizon_days,outcome_status,future_return,benchmark_return,excess_return,created_at,version
2026-05-13,AEHR,1,4.6891296966706655,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,1,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,AEHR,1,4.6891296966706655,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,3,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,AEHR,1,4.6891296966706655,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,5,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,AEHR,1,4.6891296966706655,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,10,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,AEHR,1,4.6891296966706655,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,20,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,SOXL,2,3.0732002718209888,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,1,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,SOXL,2,3.0732002718209888,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,3,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,SOXL,2,3.0732002718209888,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,5,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,SOXL,2,3.0732002718209888,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,10,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,SOXL,2,3.0732002718209888,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,20,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,INTC,3,2.8523194237209046,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,1,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,INTC,3,2.8523194237209046,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,3,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,INTC,3,2.8523194237209046,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,5,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,INTC,3,2.8523194237209046,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,10,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,INTC,3,2.8523194237209046,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,20,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,SNDK,4,2.2363161136068763,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,1,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,SNDK,4,2.2363161136068763,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,3,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,SNDK,4,2.2363161136068763,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,5,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,SNDK,4,2.2363161136068763,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,10,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,SNDK,4,2.2363161136068763,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,20,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,FLEX,5,1.8979550016491324,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,1,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,FLEX,5,1.8979550016491324,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,3,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,FLEX,5,1.8979550016491324,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,5,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,FLEX,5,1.8979550016491324,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,10,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,FLEX,5,1.8979550016491324,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,20,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,AMD,6,1.869094524562992,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,1,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,AMD,6,1.869094524562992,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,3,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
2026-05-13,AMD,6,1.869094524562992,F002,SHADOW_TOP30_ONLY,NO_OFFICIAL_CANDIDATE_FLAG,5,PENDING,,,,2026-05-13 19:49:56,V18.3B-R2
