ticker,source_tag,initial_tier,note
AA,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
AAL,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
AAPL,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
ABR,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
ADBE,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
ADMA,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
ADSK,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
AEHR,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
AEIS,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
AEVA,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
AFRM,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
AGX,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
ALM,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
AMC,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
AMAT,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
AMD,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
AMZN,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
ANET,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
APG,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
APH,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
APLD,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
APO,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
APP,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
ARM,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
ARGT,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
ASML,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
AVGO,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
AXON,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
BABA,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
BAC,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
BALL,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
BE,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
BIDU,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
BITF,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
BKNG,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
BLTE,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
BLSH,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
BN,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
BSX,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
BTDR,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
BW,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
BYND,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CART,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CAI,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CDNS,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CDTX,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CEG,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CFLT,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CHPT,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CHRW,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CHYM,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CIEN,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CIFR,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CLF,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CLH,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CLS,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CLSK,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CMG,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CNM,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
COF,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
COG,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
COGT,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
COHR,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CORZ,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CPAY,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CPNG,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CRCL,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CRH,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CRS,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CRWV,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CSGP,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
CVNA,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
DAKT,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
DAL,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
DASH,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
DB,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
DBVT,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
DIS,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
DOCU,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
DUOL,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
EEM,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
ENPH,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
ENTG,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
EQIX,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
EQT,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
ET,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
ETN,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
EWY,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
EWZ,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
FCNCA,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
FIGR,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
FLS,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
FLUT,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
FN,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
FWONK,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
GEHC,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
GEMI,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
GEV,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
GLW,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
GNRC,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
GOOG,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
GOOGL,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
GRAB,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
GS,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
GSG,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
GT,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
HIVE,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
HLT,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
HOOD,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
HPE,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
HTZ,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
HUBS,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
HUM,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
HUT,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
IBIT,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
INFY,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
INSM,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
INTC,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
IREN,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
ISRG,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
IWM,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
JBL,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
JBS,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
JCI,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
JD,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
JFROG,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
JHX,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
KKR,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
KLAR,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
KNX,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
KRC,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
KVYO,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
KWEB,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
LBRT,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
LCID,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
LHX,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
LIN,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
LINE,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
LITE,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
LPLA,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
LRCX,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
